airport_code,latitude,longitude,timezone
FSD,43.58194444,-96.74194444,America/Chicago
FSM,35.33666667,-94.36611111,America/Chicago
FWA,40.97833333,-85.19527778,America/Indiana/Indianapolis
GCC,44.34888889,-105.53944444,America/Denver
GCK,37.9275,-100.72444444,America/Chicago
GEG,47.61916667,-117.53527778,America/Los_Angeles
GFK,47.94722222,-97.17388889,America/Chicago
GGG,32.38388889,-94.71138889,America/Chicago
GJT,39.1225,-108.52666667,America/Denver
GNV,29.69,-82.27166667,America/New_York
GPT,30.40722222,-89.07,America/Chicago
GRB,44.48472222,-88.12972222,America/Chicago
GRI,40.9675,-98.30972222,America/Chicago
GRK,31.06722222,-97.82888889,America/Chicago
GRR,42.88083333,-85.52277778,America/Detroit
GSO,36.10138889,-79.94111111,America/New_York
GSP,34.89555556,-82.21888889,America/New_York
GTF,47.48222222,-111.37027778,America/Denver
GTR,33.44833333,-88.59138889,America/Chicago
GUC,38.53611111,-106.92944444,America/Denver
GUM,13.48388889,144.79722222,Pacific/Guam
HDN,40.48111111,-107.21777778,America/Denver
HGR,39.70861111,-77.72638889,America/New_York
HHH,32.22444444,-80.6975,America/New_York
HIB,47.38666667,-92.83888889,America/Chicago
HLN,46.60666667,-111.98333333,America/Denver
HNL,21.31777778,-157.92027778,Pacific/Honolulu
HOU,29.64583333,-95.27722222,America/Chicago
HPN,41.06694444,-73.7075,America/New_York
HRL,26.22722222,-97.65527778,America/Chicago
HSV,34.63722222,-86.775,America/Chicago
HTS,38.36861111,-82.56027778,America/New_York
HYS,38.84222222,-99.27305556,America/Chicago
IAD,38.9475,-77.46,America/New_York
IAG,43.1075,-78.94583333,America/New_York
IAH,29.98444444,-95.34138889,America/Chicago
ICT,37.65,-97.43305556,America/Chicago
IDA,43.51361111,-112.07083333,America/Boise
ILM,34.27111111,-77.90277778,America/New_York
IMT,45.81833333,-88.11444444,America/Menominee
IND,39.71722222,-86.29472222,America/Indiana/Indianapolis
INL,48.56555556,-93.40222222,America/Chicago
ISP,40.79611111,-73.10055556,America/New_York
ITH,42.49138889,-76.45861111,America/New_York
ITO,19.72027778,-155.04833333,Pacific/Honolulu
JAC,43.60722222,-110.73777778,America/Denver
JAN,32.31111111,-90.07583333,America/Chicago
JAX,30.49416667,-81.68777778,America/New_York
JFK,40.64,-73.77861111,America/New_York
JLN,37.15305556,-94.49888889,America/Chicago
JMS,46.92972222,-98.67805556,America/Chicago
JNU,58.35472222,-134.57833333,America/Juneau
JST,40.31555556,-78.83472222,America/New_York
KOA,19.73888889,-156.04555556,Pacific/Honolulu
KTN,55.35416667,-131.71111111,America/Sitka
